Ім'я Фамілія 1,Ім'я Фамілія 2,Результат 1,Результат 2,Турнір,Дата,Стадія,Дисципліна
Роман Церковник,Євген Драгула,0,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,quarterfinal,FREE_PYRAMID
Стефанія Церковник,Володимир Коротя,2,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,quarterfinal,FREE_PYRAMID
Артур Зелінко,Стефанія Церковник,4,1,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,final,COMBINED_PYRAMID
Юлій Гараксим,Артур Зелінко,2,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,semifinal,COMBINED_PYRAMID
Микола Шикітка,Стефанія Церковник,0,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,semifinal,COMBINED_PYRAMID
Юлій Гараксим,Максим Росул,3,1,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,quarterfinal,COMBINED_PYRAMID
Артур Зелінко,Роман Качур,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,quarterfinal,COMBINED_PYRAMID
Володимир Коротя,Микола Шикітка,2,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,quarterfinal,COMBINED_PYRAMID
Стефанія Церковник,Євген Довганич,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,quarterfinal,COMBINED_PYRAMID
Степан Ковач,Павло Бідзіля,3,2,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Олексій Проскурін,Микола Шикітка,0,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Олександр Іванович,Євген Довганич,1,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Євген Кравчак,Марк Кольмар,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Юлій Гараксим,Степан Ковач,3,1,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Олександр Лизанець,Роман Церковник,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Артур Зелінко,Максим Росул,3,1,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Микола Шикітка,Максим Король,3,1,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Володимир Коротя,Євген Довганич,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Мартін Довганич,Роман Качур,1,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Роман Чийпеш,Андрій Сергєєв,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Євген Кравчак,Стефанія Церковник,2,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Юлій Гараксим,Олександр Лизанець,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Артур Зелінко,Микола Шикітка,3,2,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Володимир Коротя,Роман Качур,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Роман Чийпеш,Стефанія Церковник,0,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Павло Бідзіля,Євген Кравчак,3,1,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Олексій Проскурін,Євген Довганич,2,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Олександр Іванович,Максим Король,3,0,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Марк Кольмар,Степан Ковач,2,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Павло Бідзіля,Андрій Сергєєв,3,1,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Мартін Довганич,Євген Довганич,2,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Олександр Іванович,Максим Росул,2,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Роман Церковник,Степан Ковач,1,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Павло Бідзіля,Микола Шикітка,1,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Євген Довганич,Олександр Лизанець,3,2,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Максим Росул,Роман Чийпеш,3,2,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Степан Ковач,Роман Качур,2,3,КУБОК Закарпатської області 2024 комбінована піраміда,2024-08-31,group,COMBINED_PYRAMID
Юлій Гараксим,Артур Зелінко,2,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,final,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Євген Драгула,3,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,semifinal,COMBINED_PYRAMID_CHANGES
Артур Зелінко,Микола Шикітка,3,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,semifinal,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Євген Довганич,3,0,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,quarterfinal,COMBINED_PYRAMID_CHANGES
Максим Король,Євген Драгула,1,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,quarterfinal,COMBINED_PYRAMID_CHANGES
Артур Зелінко,Степан Ковач,3,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,quarterfinal,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Максим Росул,3,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,quarterfinal,COMBINED_PYRAMID_CHANGES
Олександр Грін,Мартін Довганич,0,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Микола Леміш,Олександр Миронов,0,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Андрій Новицький,Михайло Сличко,1,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Євген Кравчак,Роман Церковник,3,0,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Олександр Лизанець,Степан Ковач,0,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Олексій Проскурін,Максим Росул,0,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Олександр Мимренко,Марк Кольмар,0,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Кирило Голяна,Роман Чийпеш,0,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Андрій Сергєєв,Євген Довганич,0,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Мартін Довганич,3,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Олександр Миронов,Михайло Сличко,0,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Максим Король,Євген Кравчак,3,0,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Степан Ковач,Володимир Коротя,3,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Артур Зелінко,Максим Росул,3,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Марк Кольмар,Євген Драгула,2,3,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Роман Чийпеш,3,0,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Євген Довганич,Стефанія Церковник,3,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Михайло Сличко,3,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Максим Король,Степан Ковач,3,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Артур Зелінко,Євген Драгула,3,0,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Євген Довганич,3,0,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Микола Леміш,Андрій Новицький,0,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Олександр Грін,Стефанія Церковник,0,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Андрій Новицький,Роман Чийпеш,1,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Роман Церковник,Марк Кольмар,1,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Олександр Лизанець,Максим Росул,0,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
